Name,Gender,Honor,URL,Year
"Bernhard Sturm","male","Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=581","2023"
"Klaus Haberl","male","Goldenes Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=592","2023"
"Lydia Burchhardt","female","Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=592","2023"
"Lutz Lehmann","male","Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=592","2023"
"Franz Berger","male","Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=592","2023"
"Herta Wadl","female","Kärntner Lorbeer für ehrenamtliche Tätigkeit in Gold mit Brillanten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=592","2023"
"Chantal Bamgbala","female","Kärntner Menschenrechtspreis","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=579","2023"
"Martina Ranner","female","Kärntner Integrationspreis","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=578","2023"
"Florian Huber","male","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Wolf Imrich","male","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Judith Wieser","female","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Maria Gojkovic","female","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Gabriele Kleinsasser","female","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Melisa Midžan","female","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Mario Guggenberger","male","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Katharina Ninaus","female","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Alina Sawy","female","Digitalisierungsstipendium des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=577","2023"
"Hubert Stotter","male","Großes Goldenes Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=576","2023"
"Gernot Nischelwitzer","male","Großes Goldenes Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=572","2023"
"Horst Anhell","male","Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=568","2023"
"Oskar Gregor Sobej","male","Ehrenzeichen des Landes Kärnten","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=573","2023"
"Benjamin Wedam","male","Kärntner Katastropheneinsatzmedaille in Silber","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Rudolf Samonik","male","Kärntner Katastropheneinsatzmedaille in Silber","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Christian Miggitsch","male","Kärntner Katastropheneinsatzmedaille in Silber","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Andreas Lauchart","male","Kärntner Katastropheneinsatzmedaille in Silber","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Klaus Benjamin Rindler","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Dominik Gilgenreiner","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Mihael Grilc","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Benjamin Anawender","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Christian Zdesar","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Peter Oresnik","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Stefan Gaggl","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Thomas Dular","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Martin Ladinig","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Arnold Dular","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Matthias Dular","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Christopher Tiefnig","male","Kärntner Katastropheneinsatzmedaille in Silber","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Robert Poglitsch","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Helmut Pellosch","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Bernd Gelautz","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Markus Pellosch","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Silvio Koman","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Arnold Sommer","male","Kärntner Katastropheneinsatzmedaille in Silber","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Thomas Dirr","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
"Norbert Schellander","male","Kärntner Katastropheneinsatzmedaille in Bronze","https://www.ktn.gv.at/Politik/Landesregierung/LH-Dr-Peter-Kaiser/Protokoll/Veranstaltungen-2023?pid=567","2023"
